transaction_id,user_id,amount,merchant_id,country,payment_method,device_id,is_fraud,risk_score,timestamp
tx_1,user_401,111.44,merchant_49,US,card,device_2675,0,0.25,2024-12-17 04:01:00
tx_2,user_731,160.9,merchant_4,BR,wallet,device_380,0,0.27,2024-01-09 02:12:00
tx_3,user_684,27.2,merchant_87,DE,wallet,device_478,0,0.11,2024-05-19 05:47:00
tx_4,user_995,128.11,merchant_79,FR,ach,device_1898,0,0.44,2024-07-07 03:57:00
tx_5,user_386,50.61,merchant_2,UK,card,device_1462,0,0.17,2024-08-20 08:14:00
tx_6,user_405,34.69,merchant_64,IN,ach,device_1604,0,0.44,2024-06-19 04:07:00
tx_7,user_302,8.94,merchant_19,CA,wallet,device_959,0,0.12,2024-05-02 08:17:00
tx_8,user_511,20.02,merchant_12,FR,wallet,device_1243,0,0.16,2024-08-05 16:42:00
tx_9,user_521,223.19,merchant_17,DE,wallet,device_2394,0,0.18,2024-10-02 05:40:00
tx_10,user_732,30.03,merchant_92,DE,ach,device_540,0,0.24,2024-10-01 05:24:00
tx_11,user_473,31.21,merchant_3,NG,card,device_1442,0,0.61,2024-01-27 23:04:00
tx_12,user_299,80.31,merchant_18,UK,wallet,device_2531,0,0.14,2024-04-27 11:05:00
tx_13,user_404,296.53,merchant_35,BR,wallet,device_443,0,0.33,2024-04-19 01:41:00
tx_14,user_702,202.85,merchant_75,FR,wallet,device_232,0,0.3,2024-04-15 02:52:00
tx_15,user_368,160.87,merchant_83,IN,wallet,device_101,0,0.14,2024-02-14 06:51:00
tx_16,user_104,31.29,merchant_39,US,ach,device_1139,0,0.25,2024-06-17 08:43:00
tx_17,user_291,29.83,merchant_17,AU,ach,device_1380,0,0.21,2024-12-21 17:14:00
tx_18,user_960,416.06,merchant_40,DE,ach,device_1219,0,0.25,2024-08-30 17:51:00
tx_19,user_30,31.79,merchant_90,CA,card,device_1449,0,0.4,2024-09-23 07:51:00
tx_20,user_516,12.53,merchant_24,AU,ach,device_728,0,0.41,2024-01-30 02:27:00
tx_21,user_765,80.78,merchant_96,DE,ach,device_1290,0,0.27,2024-12-03 14:48:00
tx_22,user_705,23.12,merchant_77,IN,ach,device_2033,0,0.2,2024-09-22 08:24:00
tx_23,user_991,230.28,merchant_41,US,card,device_519,0,0.19,2024-06-29 08:31:00
tx_24,user_640,91.76,merchant_53,AU,ach,device_2405,0,0.72,2024-03-04 03:17:00
tx_25,user_784,245.82,merchant_8,IN,card,device_2020,0,0.14,2024-12-05 14:03:00
tx_26,user_445,73.17,merchant_37,AU,wallet,device_2584,0,0.1,2024-02-20 09:57:00
tx_27,user_714,133.95,merchant_19,DE,wallet,device_1330,0,0.11,2024-07-15 20:50:00
tx_28,user_501,28.15,merchant_30,IN,ach,device_975,0,0.24,2024-03-12 20:45:00
tx_29,user_763,43.95,merchant_82,US,wallet,device_2758,0,0.17,2024-08-18 11:37:00
tx_30,user_35,83.56,merchant_37,DE,card,device_2200,0,0.45,2024-07-26 09:21:00
tx_31,user_226,276.19,merchant_57,CA,card,device_1684,0,0.17,2024-10-02 10:47:00
tx_32,user_323,3.17,merchant_28,DE,ach,device_255,0,0.23,2024-08-15 11:52:00
tx_33,user_882,5.28,merchant_72,NG,card,device_2180,0,0.15,2024-03-10 11:05:00
tx_34,user_975,40.68,merchant_17,IN,card,device_1344,0,0.33,2024-11-19 23:25:00
tx_35,user_81,7.81,merchant_27,FR,ach,device_1591,0,0.57,2024-05-23 18:41:00
tx_36,user_980,116.6,merchant_7,UK,wallet,device_2867,0,0.14,2024-09-19 07:23:00
tx_37,user_204,170.98,merchant_57,UK,card,device_1473,0,0.33,2024-03-03 04:38:00
tx_38,user_128,31.77,merchant_49,FR,ach,device_2620,0,0.26,2024-08-16 13:43:00
tx_39,user_926,9.61,merchant_41,NG,card,device_351,0,0.19,2024-01-22 05:30:00
tx_40,user_392,300.05,merchant_32,BR,ach,device_811,0,0.54,2024-03-30 13:14:00
tx_41,user_978,78.07,merchant_25,DE,ach,device_184,0,0.44,2024-12-11 00:45:00
tx_42,user_132,164.28,merchant_12,AU,ach,device_642,0,0.27,2024-01-13 16:46:00
tx_43,user_141,189.18,merchant_4,US,wallet,device_1702,0,0.27,2024-11-29 23:21:00
tx_44,user_940,25.0,merchant_44,DE,wallet,device_1002,0,0.35,2024-01-11 00:39:00
tx_45,user_248,4.02,merchant_89,AU,card,device_901,1,0.47,2024-04-03 16:36:00
tx_46,user_673,19.92,merchant_47,DE,wallet,device_2836,0,0.16,2024-09-14 14:30:00
tx_47,user_937,3.45,merchant_42,UK,card,device_1989,0,0.17,2024-07-19 08:25:00
tx_48,user_135,258.22,merchant_12,IN,card,device_1275,0,0.2,2024-04-04 18:39:00
tx_49,user_149,64.29,merchant_39,US,card,device_458,0,0.19,2024-08-02 18:32:00
tx_50,user_380,38.43,merchant_10,DE,wallet,device_1127,0,0.48,2024-03-18 13:42:00
tx_51,user_973,90.7,merchant_53,UK,wallet,device_1682,0,0.12,2024-07-27 21:58:00
tx_52,user_669,8.01,merchant_22,IN,card,device_284,0,0.17,2024-01-06 08:55:00
tx_53,user_445,129.01,merchant_91,AU,ach,device_512,0,0.21,2024-04-27 22:56:00
tx_54,user_62,77.54,merchant_22,AU,card,device_177,0,0.33,2024-07-18 02:49:00
tx_55,user_787,98.32,merchant_90,IN,ach,device_1540,0,0.59,2024-10-22 22:37:00
tx_56,user_99,26.52,merchant_75,NG,card,device_2562,0,0.4,2024-11-10 22:19:00
tx_57,user_610,2.15,merchant_45,UK,wallet,device_1450,0,0.19,2024-08-10 05:14:00
tx_58,user_375,279.8,merchant_14,NG,ach,device_2727,0,0.28,2024-07-10 12:18:00
tx_59,user_77,43.19,merchant_41,CA,card,device_2589,1,0.18,2024-12-23 05:55:00
tx_60,user_296,65.37,merchant_16,UK,ach,device_2314,0,0.26,2024-05-19 06:30:00
tx_61,user_888,414.04,merchant_10,DE,wallet,device_67,0,0.18,2024-12-28 21:01:00
tx_62,user_612,54.71,merchant_86,DE,card,device_1224,0,0.17,2024-03-14 18:20:00
tx_63,user_967,11.71,merchant_10,IN,ach,device_878,0,0.24,2024-11-13 09:38:00
tx_64,user_6,35.14,merchant_55,IN,ach,device_2097,0,0.22,2024-09-23 09:45:00
tx_65,user_759,1.8,merchant_16,NG,wallet,device_1592,0,0.2,2024-02-11 08:50:00
tx_66,user_879,48.5,merchant_21,UK,card,device_405,0,0.17,2024-07-13 09:21:00
tx_67,user_6,299.5,merchant_72,IN,wallet,device_2416,0,0.33,2024-05-14 02:54:00
tx_68,user_333,54.06,merchant_48,IN,ach,device_2236,0,0.59,2024-03-01 05:17:00
tx_69,user_82,63.0,merchant_13,IN,wallet,device_633,0,0.31,2024-12-16 00:45:00
tx_70,user_395,472.94,merchant_39,CA,wallet,device_796,0,0.42,2024-09-18 17:42:00
tx_71,user_745,104.88,merchant_89,FR,wallet,device_87,0,0.16,2024-07-10 22:20:00
tx_72,user_613,26.22,merchant_68,IN,wallet,device_715,0,0.12,2024-04-24 13:15:00
tx_73,user_967,20.63,merchant_80,IN,card,device_410,0,0.33,2024-03-10 02:30:00
tx_74,user_256,5.96,merchant_81,IN,card,device_2863,0,0.2,2024-11-20 19:26:00
tx_75,user_380,262.77,merchant_12,US,wallet,device_282,0,0.2,2024-11-08 20:26:00
tx_76,user_149,50.46,merchant_14,US,card,device_2358,0,0.18,2024-10-31 17:50:00
tx_77,user_279,16.71,merchant_78,BR,ach,device_843,0,0.28,2024-07-09 20:17:00
tx_78,user_26,25.34,merchant_45,FR,wallet,device_2018,0,0.15,2024-07-18 06:50:00
tx_79,user_404,86.77,merchant_62,BR,card,device_2671,0,0.26,2024-04-09 23:22:00
tx_80,user_329,30.87,merchant_36,NG,ach,device_1195,0,0.21,2024-02-18 15:07:00
tx_81,user_912,311.57,merchant_36,BR,wallet,device_2141,0,0.19,2024-12-27 08:41:00
tx_82,user_74,106.49,merchant_73,CA,wallet,device_2004,0,0.16,2024-04-27 11:49:00
tx_83,user_142,52.5,merchant_45,IN,card,device_1986,0,0.14,2024-06-11 21:45:00
tx_84,user_733,128.53,merchant_89,NG,wallet,device_1695,0,0.3,2024-03-19 23:18:00
tx_85,user_506,24.87,merchant_52,IN,ach,device_1712,0,0.42,2024-02-11 00:46:00
